vote_2020,gender,race_ethnicity,household_income,state,age,vote_trump
Joe Biden,male,White,"$150,000 to $199,999",kansas,36,0
Joe Biden,male,White,"$200,000 and above",virginia,49,0
Joe Biden,male,"Black, or African American","$50,000 to $99,999",virginia,29,0
Joe Biden,male,White,"$100,000 to $149,999",texas,67,0
Donald Trump,female,White,"$50,000 to $99,999",missouri,45,1
Joe Biden,female,White,"$50,000 to $99,999",south carolina,51,0
Donald Trump,male,White,"Less than $49,999",connecticut,70,1
Donald Trump,female,White,"$100,000 to $149,999",iowa,56,1
Joe Biden,male,White,"$50,000 to $99,999",michigan,71,0
Joe Biden,female,White,"Less than $49,999",pennsylvania,25,0
Joe Biden,male,White,"$200,000 and above",pennsylvania,44,0
Joe Biden,female,White,"$50,000 to $99,999",california,44,0
Joe Biden,male,White,"$100,000 to $149,999",washington,37,0
Donald Trump,female,Some other race,"$50,000 to $99,999",north carolina,55,1
Donald Trump,male,White,"$50,000 to $99,999",texas,58,1
Donald Trump,female,White,"Less than $49,999",arkansas,50,1
Joe Biden,male,White,"Less than $49,999",texas,42,0
Donald Trump,female,White,"$50,000 to $99,999",iowa,68,1
Donald Trump,male,White,"$100,000 to $149,999",oklahoma,74,1
Donald Trump,female,White,"$50,000 to $99,999",michigan,43,1
Donald Trump,male,White,"$50,000 to $99,999",pennsylvania,73,1
Donald Trump,male,White,"$200,000 and above",florida,74,1
Donald Trump,male,White,"$100,000 to $149,999",connecticut,65,1
Joe Biden,female,White,"$100,000 to $149,999",michigan,71,0
Donald Trump,female,White,"$50,000 to $99,999",new york,68,1
Joe Biden,male,White,"Less than $49,999",illinois,82,0
Donald Trump,female,Some other race,"Less than $49,999",california,25,1
Donald Trump,male,White,"$50,000 to $99,999",indiana,71,1
Donald Trump,male,White,"$200,000 and above",california,40,1
Donald Trump,male,White,"Less than $49,999",texas,64,1
Joe Biden,male,White,"Less than $49,999",texas,67,0
Donald Trump,male,White,"$200,000 and above",south carolina,46,1
Joe Biden,female,White,"$50,000 to $99,999",texas,57,0
Donald Trump,male,White,"$50,000 to $99,999",alabama,66,1
Donald Trump,male,White,"Less than $49,999",florida,71,1
Donald Trump,male,White,"$100,000 to $149,999",florida,69,1
Joe Biden,female,White,"Less than $49,999",florida,20,0
Joe Biden,female,White,"$50,000 to $99,999",north carolina,61,0
Donald Trump,male,White,"$200,000 and above",pennsylvania,66,1
Donald Trump,female,Asian or Pacific Islander,"$100,000 to $149,999",texas,65,1
Joe Biden,male,White,"$50,000 to $99,999",minnesota,47,0
Donald Trump,male,White,"$50,000 to $99,999",illinois,36,1
Joe Biden,female,"Black, or African American","Less than $49,999",indiana,28,0
Donald Trump,female,White,"$100,000 to $149,999",louisiana,39,1
Joe Biden,female,White,"Less than $49,999",wisconsin,64,0
Donald Trump,male,White,"$100,000 to $149,999",pennsylvania,65,1
Joe Biden,male,White,"$100,000 to $149,999",north carolina,33,0
Donald Trump,female,White,"$50,000 to $99,999",florida,42,1
Joe Biden,male,White,"Less than $49,999",tennessee,69,0
Donald Trump,female,American Indian or Alaska Native,"Less than $49,999",oklahoma,25,1
Joe Biden,male,White,"Less than $49,999",california,64,0
Joe Biden,female,White,"$50,000 to $99,999",michigan,33,0
Donald Trump,female,White,"Less than $49,999",florida,66,1
Donald Trump,male,White,"$50,000 to $99,999",texas,52,1
Donald Trump,male,White,"$100,000 to $149,999",georgia,40,1
Donald Trump,male,White,"$50,000 to $99,999",arizona,66,1
Joe Biden,female,White,"Less than $49,999",maine,73,0
Joe Biden,male,White,"Less than $49,999",pennsylvania,67,0
Joe Biden,male,White,"Less than $49,999",new york,52,0
Donald Trump,female,White,"Less than $49,999",florida,42,1
Donald Trump,male,White,"Less than $49,999",new york,72,1
Joe Biden,male,Some other race,"Less than $49,999",massachusetts,42,0
Donald Trump,female,White,"Less than $49,999",missouri,35,1
Donald Trump,male,White,"$50,000 to $99,999",pennsylvania,41,1
Donald Trump,male,White,"Less than $49,999",arizona,62,1
Donald Trump,male,White,"$100,000 to $149,999",california,69,1
Donald Trump,male,White,"$100,000 to $149,999",tennessee,43,1
Joe Biden,male,White,"$150,000 to $199,999",maryland,78,0
Joe Biden,male,White,"Less than $49,999",california,45,0
Joe Biden,male,White,"$50,000 to $99,999",kentucky,61,0
Donald Trump,male,White,"$100,000 to $149,999",texas,62,1
Joe Biden,male,White,"Less than $49,999",ohio,66,0
Donald Trump,male,White,"$200,000 and above",california,37,1
Donald Trump,male,White,"$100,000 to $149,999",iowa,56,1
Donald Trump,male,White,"$100,000 to $149,999",georgia,65,1
Donald Trump,male,White,"Less than $49,999",virginia,62,1
Donald Trump,male,Asian or Pacific Islander,"$200,000 and above",new jersey,57,1
Joe Biden,male,White,"Less than $49,999",texas,21,0
Donald Trump,male,White,"$150,000 to $199,999",texas,67,1
Joe Biden,female,White,"Less than $49,999",missouri,19,0
Donald Trump,male,Some other race,"$100,000 to $149,999",california,64,1
Donald Trump,male,White,"$50,000 to $99,999",georgia,48,1
Donald Trump,female,White,"Less than $49,999",illinois,27,1
Joe Biden,male,White,"Less than $49,999",alabama,70,0
Donald Trump,male,White,"$50,000 to $99,999",iowa,58,1
Joe Biden,female,White,"Less than $49,999",california,56,0
Joe Biden,male,White,"$50,000 to $99,999",michigan,72,0
Donald Trump,male,White,"Less than $49,999",missouri,60,1
Donald Trump,male,White,"$50,000 to $99,999",ohio,70,1
Joe Biden,male,White,"Less than $49,999",oregon,68,0
Joe Biden,male,Asian or Pacific Islander,"$100,000 to $149,999",california,61,0
Donald Trump,male,White,"Less than $49,999",arizona,48,1
Donald Trump,female,Asian or Pacific Islander,"$50,000 to $99,999",indiana,65,1
Joe Biden,male,White,"Less than $49,999",michigan,60,0
Joe Biden,male,"Black, or African American","Less than $49,999",missouri,54,0
Donald Trump,male,White,"$50,000 to $99,999",georgia,73,1
Donald Trump,female,White,"$100,000 to $149,999",illinois,43,1
Joe Biden,female,White,"Less than $49,999",new york,70,0
Donald Trump,male,White,"$50,000 to $99,999",florida,66,1
Donald Trump,male,White,"$50,000 to $99,999",mississippi,48,1
Donald Trump,female,Some other race,"Less than $49,999",texas,26,1
Donald Trump,male,Some other race,"Less than $49,999",california,37,1
Donald Trump,male,White,"Less than $49,999",new york,67,1
Donald Trump,male,White,"$150,000 to $199,999",north carolina,47,1
Donald Trump,male,White,"$50,000 to $99,999",massachusetts,71,1
Donald Trump,male,White,"Less than $49,999",tennessee,66,1
Joe Biden,male,White,"$50,000 to $99,999",connecticut,55,0
Joe Biden,male,White,"$50,000 to $99,999",montana,33,0
Joe Biden,male,White,"Less than $49,999",washington,62,0
Joe Biden,female,White,"$100,000 to $149,999",pennsylvania,38,0
Joe Biden,female,"Black, or African American","Less than $49,999",illinois,55,0
Joe Biden,female,White,"Less than $49,999",texas,66,0
Joe Biden,male,White,"Less than $49,999",michigan,68,0
Donald Trump,male,Some other race,"Less than $49,999",california,28,1
Donald Trump,male,White,"$150,000 to $199,999",florida,69,1
Donald Trump,male,White,"$100,000 to $149,999",new york,65,1
Joe Biden,male,White,"$50,000 to $99,999",florida,51,0
Donald Trump,female,White,"Less than $49,999",maryland,64,1
Donald Trump,male,White,"$100,000 to $149,999",pennsylvania,69,1
Donald Trump,female,White,"Less than $49,999",georgia,40,1
Donald Trump,male,White,"$50,000 to $99,999",washington,68,1
Joe Biden,female,White,"$100,000 to $149,999",florida,19,0
Joe Biden,male,White,"$150,000 to $199,999",virginia,53,0
Donald Trump,male,White,"Less than $49,999",florida,69,1
Donald Trump,male,White,"Less than $49,999",new york,50,1
Donald Trump,male,White,"$50,000 to $99,999",louisiana,53,1
Donald Trump,male,White,"$50,000 to $99,999",florida,72,1
Joe Biden,female,White,"Less than $49,999",pennsylvania,76,0
Donald Trump,male,White,"$50,000 to $99,999",pennsylvania,62,1
Donald Trump,male,White,"Less than $49,999",oklahoma,67,1
Donald Trump,male,White,"$50,000 to $99,999",new jersey,57,1
Joe Biden,male,Asian or Pacific Islander,"$50,000 to $99,999",pennsylvania,45,0
Joe Biden,male,"Black, or African American","$50,000 to $99,999",south carolina,29,0
Donald Trump,male,White,"Less than $49,999",florida,50,1
Joe Biden,male,White,"$100,000 to $149,999",new york,69,0
Donald Trump,female,White,"Less than $49,999",washington,55,1
Joe Biden,female,White,"$50,000 to $99,999",illinois,67,0
Donald Trump,male,White,"Less than $49,999",north carolina,90,1
Joe Biden,male,"Black, or African American","Less than $49,999",massachusetts,72,0
Joe Biden,female,White,"Less than $49,999",ohio,19,0
Joe Biden,male,White,"$50,000 to $99,999",indiana,71,0
Joe Biden,male,White,"$100,000 to $149,999",new york,47,0
Joe Biden,female,White,"Less than $49,999",arizona,71,0
Donald Trump,male,White,"$50,000 to $99,999",oregon,61,1
Donald Trump,female,White,"Less than $49,999",mississippi,48,1
Joe Biden,female,White,"Less than $49,999",north carolina,60,0
Donald Trump,male,White,"$50,000 to $99,999",arizona,82,1
Joe Biden,female,White,"$50,000 to $99,999",new jersey,73,0
Donald Trump,male,White,"Less than $49,999",north carolina,73,1
Donald Trump,female,White,"$50,000 to $99,999",minnesota,70,1
Joe Biden,female,"Black, or African American","$50,000 to $99,999",virginia,21,0
Joe Biden,female,White,"$100,000 to $149,999",missouri,69,0
Joe Biden,female,White,"Less than $49,999",tennessee,58,0
Joe Biden,female,White,"Less than $49,999",louisiana,61,0
Donald Trump,female,White,"Less than $49,999",colorado,31,1
Joe Biden,male,White,"Less than $49,999",arizona,22,0
Donald Trump,female,White,"Less than $49,999",florida,66,1
Joe Biden,male,White,"Less than $49,999",ohio,69,0
Donald Trump,female,White,"$50,000 to $99,999",south dakota,49,1
Joe Biden,male,White,"$50,000 to $99,999",wisconsin,37,0
Joe Biden,male,White,"Less than $49,999",north carolina,72,0
Donald Trump,female,White,"$50,000 to $99,999",virginia,61,1
Donald Trump,female,White,"$50,000 to $99,999",texas,67,1
Donald Trump,male,White,"Less than $49,999",florida,80,1
Donald Trump,female,White,"$50,000 to $99,999",new york,69,1
Donald Trump,male,White,"Less than $49,999",maryland,26,1
Joe Biden,female,White,"$50,000 to $99,999",missouri,83,0
Donald Trump,female,White,"Less than $49,999",montana,61,1
Joe Biden,male,"Black, or African American","$150,000 to $199,999",new york,55,0
Donald Trump,female,White,"Less than $49,999",georgia,52,1
Joe Biden,male,White,"Less than $49,999",michigan,55,0
Joe Biden,male,White,"Less than $49,999",louisiana,19,0
Joe Biden,female,Some other race,"Less than $49,999",north carolina,69,0
Donald Trump,female,White,"$50,000 to $99,999",idaho,42,1
Donald Trump,male,White,"Less than $49,999",florida,64,1
Donald Trump,male,White,"Less than $49,999",new york,38,1
Joe Biden,female,"Black, or African American","Less than $49,999",california,54,0
Joe Biden,female,White,"$50,000 to $99,999",massachusetts,72,0
Donald Trump,female,White,"Less than $49,999",missouri,39,1
Donald Trump,female,White,"Less than $49,999",arkansas,68,1
Donald Trump,male,White,"$100,000 to $149,999",alabama,55,1
Joe Biden,female,White,"Less than $49,999",illinois,76,0
Donald Trump,male,White,"Less than $49,999",california,65,1
Joe Biden,female,White,"Less than $49,999",kentucky,31,0
Joe Biden,female,White,"$50,000 to $99,999",illinois,71,0
Donald Trump,male,White,"$50,000 to $99,999",arkansas,58,1
Joe Biden,female,"Black, or African American","$50,000 to $99,999",florida,60,0
Joe Biden,female,Asian or Pacific Islander,"$50,000 to $99,999",north carolina,45,0
Donald Trump,female,Some other race,"Less than $49,999",michigan,69,1
Donald Trump,male,White,"Less than $49,999",north carolina,70,1
Donald Trump,female,White,"Less than $49,999",virginia,34,1
Joe Biden,male,"Black, or African American","Less than $49,999",district of columbia,53,0
Donald Trump,male,White,"Less than $49,999",south carolina,77,1
Donald Trump,male,White,"Less than $49,999",oregon,65,1
Donald Trump,male,White,"$50,000 to $99,999",ohio,51,1
Joe Biden,male,White,"Less than $49,999",maryland,72,0
Joe Biden,female,White,"$50,000 to $99,999",illinois,58,0
Donald Trump,male,White,"Less than $49,999",michigan,56,1
Donald Trump,male,White,"$50,000 to $99,999",pennsylvania,36,1
Donald Trump,male,White,"$100,000 to $149,999",north dakota,62,1
Donald Trump,male,White,"$50,000 to $99,999",louisiana,65,1
Joe Biden,female,Asian or Pacific Islander,"Less than $49,999",north carolina,27,0
Joe Biden,female,White,"$150,000 to $199,999",louisiana,46,0
Donald Trump,female,White,"$100,000 to $149,999",california,29,1
Joe Biden,male,White,"Less than $49,999",pennsylvania,37,0
Joe Biden,male,White,"$50,000 to $99,999",pennsylvania,55,0
Donald Trump,male,White,"Less than $49,999",texas,76,1
Joe Biden,male,White,"Less than $49,999",ohio,75,0
Joe Biden,male,"Black, or African American","$100,000 to $149,999",virginia,38,0
Joe Biden,male,White,"$50,000 to $99,999",arizona,69,0
Joe Biden,male,White,"$50,000 to $99,999",massachusetts,72,0
Donald Trump,male,White,"$100,000 to $149,999",tennessee,31,1
Donald Trump,female,White,"$50,000 to $99,999",oregon,58,1
Donald Trump,male,White,"Less than $49,999",virginia,72,1
Donald Trump,female,White,"Less than $49,999",georgia,79,1
Joe Biden,female,"Black, or African American","Less than $49,999",georgia,66,0
Joe Biden,male,Some other race,"$100,000 to $149,999",maryland,59,0
Donald Trump,male,White,"$150,000 to $199,999",new hampshire,71,1
Joe Biden,female,Asian or Pacific Islander,"Less than $49,999",missouri,36,0
Joe Biden,female,"Black, or African American","$50,000 to $99,999",illinois,47,0
Joe Biden,female,"Black, or African American","Less than $49,999",delaware,49,0
Donald Trump,male,White,"$100,000 to $149,999",florida,50,1
Donald Trump,male,White,"$50,000 to $99,999",colorado,67,1
Joe Biden,female,Asian or Pacific Islander,"$50,000 to $99,999",georgia,50,0
Donald Trump,female,White,"Less than $49,999",kansas,70,1
Donald Trump,female,Some other race,"$100,000 to $149,999",pennsylvania,40,1
Donald Trump,male,White,"$150,000 to $199,999",california,73,1
Donald Trump,male,"Black, or African American","Less than $49,999",wisconsin,50,1
Donald Trump,female,Some other race,"$50,000 to $99,999",north carolina,37,1
Joe Biden,female,Asian or Pacific Islander,"$200,000 and above",california,25,0
Joe Biden,female,White,"Less than $49,999",new jersey,39,0
Donald Trump,male,White,"Less than $49,999",texas,81,1
Donald Trump,male,American Indian or Alaska Native,"$100,000 to $149,999",california,72,1
Joe Biden,male,White,"$50,000 to $99,999",california,74,0
Joe Biden,female,Some other race,"Less than $49,999",louisiana,78,0
Joe Biden,male,White,"Less than $49,999",california,59,0
Donald Trump,female,White,"Less than $49,999",florida,75,1
Donald Trump,male,White,"$200,000 and above",california,70,1
Donald Trump,female,"Black, or African American","Less than $49,999",minnesota,65,1
Joe Biden,female,White,"$50,000 to $99,999",alabama,43,0
Joe Biden,male,Asian or Pacific Islander,"Less than $49,999",california,72,0
Joe Biden,female,"Black, or African American","Less than $49,999",illinois,73,0
Joe Biden,male,White,"$50,000 to $99,999",wisconsin,76,0
Joe Biden,male,White,"$50,000 to $99,999",new york,32,0
Donald Trump,male,White,"$100,000 to $149,999",new jersey,67,1
Donald Trump,male,White,"Less than $49,999",washington,72,1
Donald Trump,male,White,"$50,000 to $99,999",nevada,74,1
Joe Biden,male,White,"$50,000 to $99,999",oregon,34,0
Joe Biden,female,White,"Less than $49,999",virginia,26,0
Joe Biden,female,White,"$50,000 to $99,999",new york,24,0
Joe Biden,male,"Black, or African American","Less than $49,999",michigan,68,0
Joe Biden,male,"Black, or African American","Less than $49,999",ohio,66,0
Joe Biden,female,Some other race,"Less than $49,999",california,33,0
Joe Biden,female,"Black, or African American","Less than $49,999",virginia,71,0
Donald Trump,female,White,"Less than $49,999",arizona,32,1
Joe Biden,male,White,"$50,000 to $99,999",illinois,79,0
Donald Trump,female,American Indian or Alaska Native,"Less than $49,999",minnesota,63,1
Joe Biden,male,"Black, or African American","$100,000 to $149,999",illinois,69,0
Donald Trump,male,White,"$100,000 to $149,999",district of columbia,50,1
Donald Trump,male,White,"$50,000 to $99,999",new jersey,73,1
Donald Trump,female,White,"Less than $49,999",north carolina,25,1
Joe Biden,male,White,"Less than $49,999",california,77,0
Donald Trump,male,White,"$100,000 to $149,999",arizona,29,1
Donald Trump,male,White,"Less than $49,999",california,52,1
Joe Biden,female,White,"Less than $49,999",colorado,19,0
Joe Biden,male,"Black, or African American","Less than $49,999",nevada,60,0
Donald Trump,male,White,"$100,000 to $149,999",south dakota,73,1
Joe Biden,female,White,"$50,000 to $99,999",arizona,50,0
Joe Biden,male,White,"Less than $49,999",rhode island,60,0
Donald Trump,male,White,"Less than $49,999",illinois,26,1
Joe Biden,male,White,"Less than $49,999",california,60,0
Joe Biden,female,Asian or Pacific Islander,"$100,000 to $149,999",california,20,0
Donald Trump,male,Asian or Pacific Islander,"Less than $49,999",new york,34,1
Joe Biden,male,White,"$50,000 to $99,999",texas,39,0
Joe Biden,male,White,"$100,000 to $149,999",illinois,32,0
Joe Biden,female,"Black, or African American","Less than $49,999",florida,35,0
Joe Biden,female,White,"$50,000 to $99,999",south carolina,20,0
Joe Biden,female,Asian or Pacific Islander,"$100,000 to $149,999",michigan,58,0
Joe Biden,male,White,"$100,000 to $149,999",new york,67,0
Donald Trump,female,White,"Less than $49,999",kentucky,59,1
Donald Trump,female,White,"$50,000 to $99,999",california,55,1
Joe Biden,male,White,"Less than $49,999",texas,41,0
Donald Trump,male,White,"Less than $49,999",california,22,1
Donald Trump,female,White,"Less than $49,999",florida,22,1
Joe Biden,female,White,"$50,000 to $99,999",new york,32,0
Joe Biden,female,White,"$100,000 to $149,999",new york,66,0
Donald Trump,male,White,"$150,000 to $199,999",new york,42,1
Donald Trump,male,White,"$200,000 and above",texas,39,1
Joe Biden,female,White,"$50,000 to $99,999",missouri,64,0
Donald Trump,male,Asian or Pacific Islander,"$50,000 to $99,999",nevada,28,1
Donald Trump,female,American Indian or Alaska Native,"$50,000 to $99,999",pennsylvania,39,1
Joe Biden,male,White,"Less than $49,999",colorado,68,0
Joe Biden,female,White,"Less than $49,999",georgia,93,0
Joe Biden,female,White,"$200,000 and above",louisiana,65,0
Joe Biden,male,White,"$200,000 and above",wyoming,18,0
Joe Biden,female,"Black, or African American","Less than $49,999",connecticut,60,0
Joe Biden,male,White,"Less than $49,999",illinois,42,0
Donald Trump,male,White,"$100,000 to $149,999",new jersey,41,1
Joe Biden,female,White,"$50,000 to $99,999",florida,62,0
Donald Trump,male,White,"$200,000 and above",south carolina,54,1
Joe Biden,female,Asian or Pacific Islander,"Less than $49,999",california,58,0
Donald Trump,female,White,"$150,000 to $199,999",georgia,34,1
Joe Biden,female,"Black, or African American","Less than $49,999",new york,59,0
Donald Trump,male,White,"$200,000 and above",new jersey,79,1
Donald Trump,male,White,"$50,000 to $99,999",wisconsin,55,1
Donald Trump,female,White,"Less than $49,999",ohio,35,1
Joe Biden,female,"Black, or African American","$100,000 to $149,999",virginia,66,0
Donald Trump,male,Some other race,"$50,000 to $99,999",michigan,77,1
Donald Trump,male,"Black, or African American","$50,000 to $99,999",washington,46,1
Donald Trump,male,White,"$100,000 to $149,999",new jersey,73,1
Donald Trump,male,White,"Less than $49,999",texas,74,1
Donald Trump,female,White,"$50,000 to $99,999",ohio,36,1
Donald Trump,male,White,"Less than $49,999",missouri,52,1
Joe Biden,male,White,"$50,000 to $99,999",massachusetts,29,0
Donald Trump,male,White,"$50,000 to $99,999",north carolina,77,1
Donald Trump,male,White,"$200,000 and above",california,40,1
Donald Trump,male,Asian or Pacific Islander,"Less than $49,999",california,36,1
Donald Trump,male,White,"$50,000 to $99,999",florida,41,1
Joe Biden,male,White,"$50,000 to $99,999",arizona,68,0
Donald Trump,male,White,"Less than $49,999",illinois,55,1
Donald Trump,male,White,"Less than $49,999",washington,47,1
Joe Biden,male,"Black, or African American","Less than $49,999",georgia,42,0
Joe Biden,male,White,"$50,000 to $99,999",new jersey,53,0
Donald Trump,male,Some other race,"$50,000 to $99,999",illinois,37,1
Donald Trump,male,White,"Less than $49,999",pennsylvania,69,1
Joe Biden,female,"Black, or African American","Less than $49,999",ohio,63,0
Joe Biden,male,White,"Less than $49,999",california,60,0
Joe Biden,male,White,"Less than $49,999",texas,67,0
Donald Trump,male,White,"$50,000 to $99,999",utah,36,1
Joe Biden,female,White,"Less than $49,999",ohio,56,0
Donald Trump,male,White,"$100,000 to $149,999",new york,45,1
Donald Trump,female,White,"Less than $49,999",new jersey,35,1
Joe Biden,male,"Black, or African American","Less than $49,999",new york,19,0
Donald Trump,female,White,"$150,000 to $199,999",oklahoma,39,1
Donald Trump,male,White,"$100,000 to $149,999",california,36,1
Donald Trump,female,White,"$50,000 to $99,999",georgia,27,1
Joe Biden,male,"Black, or African American","$50,000 to $99,999",kentucky,53,0
Joe Biden,male,White,"Less than $49,999",west virginia,71,0
Donald Trump,female,Some other race,"$50,000 to $99,999",michigan,46,1
Joe Biden,male,White,"$50,000 to $99,999",california,70,0
Joe Biden,female,White,"Less than $49,999",kentucky,26,0
Joe Biden,female,White,"Less than $49,999",north carolina,56,0
Donald Trump,male,White,"$100,000 to $149,999",kansas,60,1
Joe Biden,male,White,"$50,000 to $99,999",oregon,50,0
Joe Biden,male,White,"Less than $49,999",new hampshire,57,0
Donald Trump,male,Asian or Pacific Islander,"$150,000 to $199,999",georgia,55,1
Donald Trump,male,Asian or Pacific Islander,"$100,000 to $149,999",florida,49,1
Joe Biden,female,"Black, or African American","$200,000 and above",michigan,57,0
Donald Trump,male,White,"Less than $49,999",tennessee,75,1
Donald Trump,female,White,"$50,000 to $99,999",nevada,53,1
Donald Trump,male,White,"Less than $49,999",washington,40,1
Joe Biden,male,White,"$100,000 to $149,999",missouri,64,0
Joe Biden,male,White,"$50,000 to $99,999",north carolina,26,0
Joe Biden,female,White,"$150,000 to $199,999",virginia,34,0
Joe Biden,male,White,"$50,000 to $99,999",oregon,57,0
Donald Trump,female,American Indian or Alaska Native,"$50,000 to $99,999",california,55,1
Donald Trump,male,White,"$100,000 to $149,999",pennsylvania,33,1
Joe Biden,female,Asian or Pacific Islander,"$150,000 to $199,999",california,44,0
Donald Trump,male,White,"$50,000 to $99,999",texas,41,1
Donald Trump,female,White,"$50,000 to $99,999",tennessee,75,1
Donald Trump,male,Some other race,"$50,000 to $99,999",california,52,1
Joe Biden,female,White,"Less than $49,999",pennsylvania,28,0
Donald Trump,male,White,"Less than $49,999",oregon,34,1
Donald Trump,female,White,"Less than $49,999",pennsylvania,57,1
Joe Biden,female,White,"Less than $49,999",louisiana,47,0
Donald Trump,male,White,"Less than $49,999",nevada,34,1
Joe Biden,male,White,"$100,000 to $149,999",california,23,0
Joe Biden,male,White,"Less than $49,999",south carolina,20,0
Joe Biden,female,"Black, or African American","Less than $49,999",south carolina,79,0
Joe Biden,female,White,"Less than $49,999",pennsylvania,28,0
Joe Biden,female,White,"Less than $49,999",oregon,68,0
Donald Trump,female,White,"Less than $49,999",virginia,66,1
Joe Biden,female,White,"Less than $49,999",texas,32,0
Joe Biden,female,Some other race,"Less than $49,999",california,40,0
Joe Biden,male,Asian or Pacific Islander,"$100,000 to $149,999",arizona,56,0
Joe Biden,female,White,"Less than $49,999",new york,72,0
Donald Trump,female,White,"Less than $49,999",alabama,59,1
Joe Biden,female,White,"$50,000 to $99,999",iowa,65,0
Donald Trump,female,White,"Less than $49,999",new jersey,57,1
Joe Biden,male,White,"$100,000 to $149,999",nevada,28,0
Donald Trump,male,White,"$100,000 to $149,999",indiana,52,1
Joe Biden,female,White,"$100,000 to $149,999",connecticut,65,0
Donald Trump,male,White,"$100,000 to $149,999",california,53,1
Joe Biden,female,"Black, or African American","$50,000 to $99,999",ohio,80,0
Joe Biden,male,Asian or Pacific Islander,"$50,000 to $99,999",ohio,35,0
Joe Biden,female,White,"$50,000 to $99,999",minnesota,44,0
Joe Biden,male,White,"$100,000 to $149,999",pennsylvania,44,0
Joe Biden,female,Some other race,"Less than $49,999",new mexico,65,0
Joe Biden,male,White,"$200,000 and above",colorado,59,0
Donald Trump,male,White,"Less than $49,999",texas,59,1
Joe Biden,female,Some other race,"Less than $49,999",arizona,34,0
Joe Biden,female,Some other race,"Less than $49,999",california,23,0
Joe Biden,female,Asian or Pacific Islander,"$100,000 to $149,999",hawaii,50,0
Donald Trump,female,White,"$50,000 to $99,999",california,53,1
Donald Trump,male,White,"$50,000 to $99,999",idaho,37,1
Donald Trump,male,Asian or Pacific Islander,"$200,000 and above",virginia,41,1
Joe Biden,male,White,"Less than $49,999",hawaii,36,0
Joe Biden,male,Asian or Pacific Islander,"$150,000 to $199,999",new york,49,0
Donald Trump,male,White,"$100,000 to $149,999",california,30,1
Joe Biden,male,White,"Less than $49,999",washington,68,0
Joe Biden,male,White,"Less than $49,999",indiana,25,0
Joe Biden,male,"Black, or African American","$50,000 to $99,999",new york,42,0
Donald Trump,female,White,"Less than $49,999",ohio,21,1
Joe Biden,male,Asian or Pacific Islander,"Less than $49,999",new york,20,0
Donald Trump,male,"Black, or African American","Less than $49,999",texas,27,1
Donald Trump,female,"Black, or African American","Less than $49,999",nevada,50,1
Donald Trump,male,White,"Less than $49,999",rhode island,59,1
Joe Biden,female,"Black, or African American","$100,000 to $149,999",new york,19,0
Joe Biden,male,White,"Less than $49,999",ohio,35,0
Joe Biden,female,White,"Less than $49,999",connecticut,37,0
Joe Biden,male,White,"Less than $49,999",new york,33,0
Joe Biden,male,White,"$100,000 to $149,999",california,30,0
Joe Biden,male,White,"Less than $49,999",illinois,37,0
Donald Trump,female,White,"$50,000 to $99,999",alabama,35,1
Donald Trump,female,White,"Less than $49,999",south carolina,50,1
Donald Trump,male,White,"$150,000 to $199,999",texas,66,1
Donald Trump,male,White,"Less than $49,999",arizona,35,1
Joe Biden,female,White,"$100,000 to $149,999",illinois,45,0
Joe Biden,female,White,"Less than $49,999",new york,43,0
Donald Trump,male,White,"Less than $49,999",illinois,21,1
Donald Trump,female,White,"Less than $49,999",california,40,1
Joe Biden,female,Some other race,"Less than $49,999",texas,32,0
Donald Trump,male,White,"$100,000 to $149,999",california,36,1
Joe Biden,male,White,"$100,000 to $149,999",new jersey,39,0
Joe Biden,female,"Black, or African American","Less than $49,999",mississippi,61,0
Donald Trump,male,Some other race,"Less than $49,999",california,39,1
Joe Biden,female,White,"$50,000 to $99,999",georgia,19,0
Joe Biden,female,Asian or Pacific Islander,"$100,000 to $149,999",new york,44,0
Joe Biden,female,White,"$50,000 to $99,999",new york,54,0
Donald Trump,male,White,"Less than $49,999",pennsylvania,18,1
Donald Trump,male,Some other race,"Less than $49,999",texas,19,1
Joe Biden,female,White,"$50,000 to $99,999",florida,64,0
Donald Trump,female,Asian or Pacific Islander,"$50,000 to $99,999",north carolina,51,1
Joe Biden,female,White,"$50,000 to $99,999",minnesota,71,0
Joe Biden,female,White,"Less than $49,999",nevada,25,0
Joe Biden,female,White,"$100,000 to $149,999",virginia,20,0
Joe Biden,female,White,"$100,000 to $149,999",texas,25,0
Donald Trump,male,Some other race,"Less than $49,999",new york,22,1
Joe Biden,female,"Black, or African American","$200,000 and above",california,20,0
Donald Trump,female,White,"$50,000 to $99,999",oregon,19,1
Joe Biden,female,White,"Less than $49,999",california,52,0
Donald Trump,male,White,"$50,000 to $99,999",wisconsin,54,1
Joe Biden,female,White,"$50,000 to $99,999",illinois,38,0
Joe Biden,female,"Black, or African American","Less than $49,999",south carolina,36,0
Joe Biden,female,White,"Less than $49,999",oklahoma,32,0
Joe Biden,female,White,"$100,000 to $149,999",north carolina,27,0
Donald Trump,female,White,"Less than $49,999",nevada,64,1
Joe Biden,female,White,"Less than $49,999",california,22,0
Donald Trump,male,White,"$200,000 and above",pennsylvania,71,1
Donald Trump,male,White,"$50,000 to $99,999",new york,65,1
Joe Biden,female,White,"Less than $49,999",pennsylvania,60,0
Donald Trump,female,White,"Less than $49,999",missouri,56,1
