vote_2020,gender,race_ethnicity,household_income,state,age,vote_trump
Joe Biden,female,White,"$100,000 to $149,999",pennsylvania,37,0
Joe Biden,female,White,"Less than $49,999",oklahoma,27,0
Donald Trump,female,White,"$100,000 to $149,999",illinois,61,1
Donald Trump,male,White,"$100,000 to $149,999",florida,47,1
Joe Biden,female,"Black, or African American","$100,000 to $149,999",district of columbia,69,0
Donald Trump,female,White,"$50,000 to $99,999",texas,45,1
Donald Trump,female,White,"$50,000 to $99,999",indiana,26,1
Donald Trump,male,White,"Less than $49,999",ohio,53,1
Joe Biden,male,White,"$50,000 to $99,999",arizona,65,0
Donald Trump,female,White,"$100,000 to $149,999",new jersey,50,1
Joe Biden,male,White,"Less than $49,999",colorado,67,0
Joe Biden,male,Asian or Pacific Islander,"Less than $49,999",pennsylvania,55,0
Joe Biden,female,White,"Less than $49,999",ohio,48,0
Joe Biden,male,Asian or Pacific Islander,"Less than $49,999",hawaii,68,0
Joe Biden,male,White,"$50,000 to $99,999",connecticut,57,0
Joe Biden,female,White,"$150,000 to $199,999",florida,32,0
Joe Biden,male,White,"$50,000 to $99,999",wisconsin,65,0
Joe Biden,female,"Black, or African American","$50,000 to $99,999",new jersey,67,0
Donald Trump,female,White,"Less than $49,999",texas,52,1
Donald Trump,male,White,"$50,000 to $99,999",texas,73,1
Donald Trump,male,White,"$100,000 to $149,999",montana,81,1
Joe Biden,female,White,"Less than $49,999",pennsylvania,66,0
Joe Biden,female,White,"$100,000 to $149,999",california,38,0
Donald Trump,male,Asian or Pacific Islander,"Less than $49,999",california,81,1
Donald Trump,female,White,"Less than $49,999",tennessee,65,1
Joe Biden,female,White,"Less than $49,999",north carolina,62,0
Donald Trump,female,White,"Less than $49,999",pennsylvania,21,1
Joe Biden,female,Some other race,"$50,000 to $99,999",connecticut,44,0
Donald Trump,female,"Black, or African American","$100,000 to $149,999",tennessee,33,1
Joe Biden,female,White,"Less than $49,999",texas,63,0
Donald Trump,female,White,"$150,000 to $199,999",tennessee,58,1
Joe Biden,female,White,"$100,000 to $149,999",illinois,60,0
Donald Trump,female,Asian or Pacific Islander,"$50,000 to $99,999",oregon,29,1
Joe Biden,male,Some other race,"$50,000 to $99,999",california,28,0
Joe Biden,female,White,"Less than $49,999",connecticut,40,0
Joe Biden,female,White,"$50,000 to $99,999",wisconsin,61,0
Joe Biden,female,White,"Less than $49,999",florida,37,0
Joe Biden,male,"Black, or African American","$200,000 and above",nevada,20,0
Joe Biden,female,White,"Less than $49,999",vermont,67,0
Joe Biden,male,White,"$150,000 to $199,999",new york,28,0
Donald Trump,male,White,"$50,000 to $99,999",pennsylvania,30,1
Donald Trump,female,White,"Less than $49,999",kentucky,28,1
Donald Trump,female,White,"Less than $49,999",maryland,62,1
Joe Biden,male,"Black, or African American","Less than $49,999",illinois,33,0
Joe Biden,female,White,"Less than $49,999",missouri,68,0
Donald Trump,female,White,"$150,000 to $199,999",florida,52,1
Donald Trump,female,White,"Less than $49,999",california,39,1
Joe Biden,female,White,"$50,000 to $99,999",montana,73,0
Joe Biden,female,"Black, or African American","Less than $49,999",wisconsin,38,0
Joe Biden,male,White,"$100,000 to $149,999",south carolina,50,0
Donald Trump,female,White,"$50,000 to $99,999",illinois,61,1
Joe Biden,female,White,"$150,000 to $199,999",missouri,63,0
Donald Trump,female,White,"$50,000 to $99,999",texas,67,1
Joe Biden,male,"Black, or African American","Less than $49,999",tennessee,52,0
Joe Biden,female,White,"$50,000 to $99,999",utah,25,0
Joe Biden,male,White,"Less than $49,999",minnesota,44,0
Joe Biden,female,White,"Less than $49,999",new jersey,69,0
Joe Biden,female,White,"Less than $49,999",south carolina,74,0
Donald Trump,female,White,"$50,000 to $99,999",georgia,65,1
Joe Biden,female,White,"Less than $49,999",california,39,0
Donald Trump,female,White,"$150,000 to $199,999",virginia,50,1
Donald Trump,female,White,"$50,000 to $99,999",west virginia,68,1
Joe Biden,male,White,"Less than $49,999",florida,18,0
